pathway,symbol,gene,rho,p_val,padj
HALLMARK_INFLAMMATORY_RESPONSE,CXCL9,ENSG00000138755,0.12963792143348218,0.003147068343277128,0.008936978610190298
HALLMARK_CHOLESTEROL_HOMEOSTASIS,FBXO6,ENSG00000116663,0.12913320018002797,0.003267314099940204,0.009227469491039917
HALLMARK_UV_RESPONSE_UP,EIF2S3,ENSG00000130741,-0.12860932920554285,0.0033965223911045822,0.00951589092538668
HALLMARK_TNFA_SIGNALING_VIA_NFKB,IRS2,ENSG00000185950,0.1285697637413136,0.0034064667904107953,0.00951589092538668
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CD83,ENSG00000112149,0.12765518554575672,0.003643829862493774,0.01012393810444216
HALLMARK_ALLOGRAFT_REJECTION,CD28,ENSG00000178562,-0.1274925751895439,0.0036875698240878777,0.01019038112678048
HALLMARK_XENOBIOTIC_METABOLISM,CBR1,ENSG00000159228,0.12689537218467511,0.0038523234273164096,0.010588739260110345
HALLMARK_INTERFERON_GAMMA_RESPONSE,SERPING1,ENSG00000149131,0.1265191441033426,0.003959510066182648,0.01082546901073341
HALLMARK_PROTEIN_SECRETION,ARFGEF1,ENSG00000066777,-0.12611197580058037,0.004078547876884279,0.011091923855653541
HALLMARK_INTERFERON_GAMMA_RESPONSE,MX2,ENSG00000183486,0.12600477150766026,0.004110423593719168,0.011119777511429748
HALLMARK_COMPLEMENT,PLSCR1,ENSG00000188313,0.125148160176015,0.0043733331126510734,0.011769074449752105
HALLMARK_INTERFERON_ALPHA_RESPONSE,PSMB8,ENSG00000204264,0.12496137163530022,0.0044326424798576056,0.011866553305452133
HALLMARK_G2M_CHECKPOINT,MKI67,ENSG00000148773,0.12439699566357738,0.00461628551684129,0.012187823556164353
HALLMARK_INTERFERON_GAMMA_RESPONSE,CXCL9,ENSG00000138755,0.12438062714293097,0.004621712738387023,0.012187823556164353
HALLMARK_MITOTIC_SPINDLE,NDC80,ENSG00000080986,0.12437438116580858,0.004623785201268577,0.012187823556164353
HALLMARK_INTERFERON_GAMMA_RESPONSE,ADAR,ENSG00000160710,0.1242568748693299,0.004662931394166722,0.012228299676539262
